Average scores:,GAN,VAE
Inter-Generated Sample,0.019279373179398783,0.031028274235456496
Convex Hull,8.76306079437968,5.599979297769063
DPP Diversity,14.666122436523438,14.412343978881836
Nearest Generated Sample,0.0790339120461257,0.09585192873276299
Distance to Centroid,1.3707751994221062,1.1148856760481423
