Average scores:,GAN,MO-PaDGAN
Minimum Target Ratio,0.5491410493850708,0.7590819001197815
DTAI,0.3403932452201843,0.4468148946762085
Hypervolume,0.5645430461610902,0.5521398316500831
Generational Distance,0.22806956260642694,0.3322637462839323
Weighted Target Success Rate,0.21899999678134918,0.43849998712539673
Signed Distance to Target,-0.2669985890388489,-0.13810643553733826
